district,dong,total_population,male,female,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70plus
영등포구,당산제2동,36332,16874,19458,2180,2273,6202,8395,5233,4627,3861,3561
영등포구,도림동,17612,8897,8715,676,783,2479,3460,2267,2795,2647,2505
영등포구,문래동,31200,15184,16016,2488,2939,3249,5363,5684,4574,3295,3608
영등포구,양평제1동,18193,8588,9605,1038,1017,2843,4662,2890,2257,1673,1813
영등포구,양평제2동,22497,10797,11700,1362,1327,3418,5674,3353,2972,2390,2001
영등포구,신길제1동,18926,9622,9304,607,810,3244,3774,2304,2825,2689,2673
영등포구,신길제3동,16024,7957,8067,869,1021,1752,2562,2241,2544,2584,2451
영등포구,신길제4동,11811,5804,6007,628,772,1226,1816,1701,1893,1982,1793
영등포구,신길제5동,9553,4607,4946,549,722,925,1293,1381,1550,1583,1550
영등포구,신길제6동,17754,8556,9198,771,987,2754,3487,2117,2597,2567,2474
영등포구,신길제7동,19434,9625,9809,1716,1884,2059,3356,3319,2825,2306,1969
영등포구,대림제1동,13213,6518,6695,530,688,1650,1743,1556,2225,2297,2524
영등포구,대림제2동,11433,5517,5916,266,447,1644,1942,1202,1891,1839,2202
영등포구,대림제3동,20756,10301,10455,838,1031,2413,3178,2421,3524,3849,3502
서초구,서초1동,19923,9544,10379,948,1731,2538,3307,3311,3286,2363,2439
서초구,서초2동,24737,11608,13129,1793,2447,3168,4744,4570,3493,2197,2325
서초구,서초3동,32000,15137,16863,1395,2614,4963,5500,4673,5164,3833,3858
서초구,서초4동,29987,14604,15383,2203,4148,3289,2971,5597,5288,3175,3316
서초구,잠원동,34959,16841,18118,2598,4226,3893,4472,6279,6278,3911,3302
서초구,반포본동,210,96,114,13,28,20,19,33,43,28,26
서초구,반포1동,33186,16211,16975,2597,4248,3603,4585,7140,4955,3003,3055
서초구,반포2동,26467,12506,13961,2390,4250,2504,2380,5098,4584,2528,2733
서초구,반포3동,23646,11238,12408,1707,3185,2580,2549,4106,4563,2534,2422
서초구,반포4동,18274,8509,9765,1360,2070,1924,2240,3189,3053,2227,2211
서초구,방배본동,19878,9150,10728,1073,2563,2294,2288,3295,3535,2432,2398
서초구,방배1동,16259,7561,8698,806,1355,1988,2584,2602,2507,2062,2355
서초구,방배2동,17471,8154,9317,779,1482,2097,2579,2529,2771,2594,2640
서초구,방배3동,15470,7351,8119,944,1648,1658,1789,2433,2577,2229,2192
서초구,방배4동,25010,11398,13612,1480,2890,2891,3493,4368,4216,2742,2930
서초구,양재1동,40562,19179,21383,2354,3975,4326,5889,6247,6422,5759,5590
서초구,양재2동,20725,10366,10359,862,1320,2831,4196,3182,3256,2794,2284
서초구,내곡동,16643,8000,8643,1173,1698,1451,2147,2748,2400,2431,2595
강남구,신사동,15041,7014,8027,779,1448,1757,1925,2351,2615,1765,2401
강남구,논현1동,20650,9782,10868,484,828,3341,5249,3584,2811,2136,2217
강남구,논현2동,20066,9347,10719,780,1178,2758,4084,3590,3141,2138,2397
강남구,압구정동,25503,11863,13640,1697,2757,2581,2755,4164,4285,3190,4074
강남구,청담동,25694,12009,13685,1585,2348,3009,3632,4526,4196,3295,3103
강남구,삼성1동,12723,6175,6548,641,1160,1483,1775,1930,2137,1756,1841
강남구,삼성2동,30321,14439,15882,1708,3453,3727,4586,5827,5276,2691,3053
강남구,대치1동,23651,11880,11771,1418,5377,2121,1221,5205,4258,2097,1954
강남구,대치2동,38415,19530,18885,2187,7032,3513,3174,7614,6650,4260,3985
강남구,대치4동,17996,8567,9429,508,2033,2653,3119,3172,3292,1640,1579
강남구,역삼1동,34118,16742,17376,717,1268,6095,9689,6174,4446,3017,2712
강남구,역삼2동,36076,16779,19297,1856,5775,4243,4411,7910,6369,2596,2916
강남구,도곡1동,20734,9735,10999,1346,2501,2337,2843,3703,3241,2515,2248
강남구,도곡2동,32041,14786,17255,2202,4649,3226,2935,5912,5441,3605,4071
강남구,개포1동,26612,12795,13817,2281,3580,2332,2963,4969,4209,3418,2860
강남구,개포2동,41807,20241,21566,3653,5262,4136,5946,7577,6706,4729,3798
강남구,개포3동,15545,7449,8096,901,1604,1271,2343,2740,2116,2012,2558
강남구,개포4동,22960,11050,11910,1447,2097,2568,3550,3715,3835,3212,2536
강남구,세곡동,45838,21401,24437,3179,4962,5058,7591,7712,6368,5499,5469
강남구,일원본동,22383,11073,11310,1550,3257,2022,2497,4250,3501,2881,2425
강남구,일원1동,14127,6767,7360,481,927,1678,2217,1903,2004,2380,2537
강남구,수서동,13486,6071,7415,490,456,934,1860,1465,1649,2860,3772
