district,quarter,zone_type,zone_code,zone_name,business_type,monthly_sales,monthly_count,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,male_sales,female_sales,age_10s_sales,age_20s_sales,age_30s_sales,age_40s_sales,age_50s_sales,age_60plus_sales
강남구,20241,골목상권,3110453,신사1동주민센터,슈퍼마켓,662967867,62029,88556038,90148394,89208724,94907982,102728418,100758728,96659583,352935725,307221034,4161863,56578326,149116692,129487222,153839495,166973162
강남구,20241,골목상권,3110453,신사1동주민센터,편의점,865721890,129690,110304716,117974267,121132014,117858180,130394699,139727516,128330498,547464378,314070723,9190991,137365745,250887432,230262752,138758851,95069331
강남구,20241,골목상권,3110453,신사1동주민센터,육류판매,79456741,2466,5788171,11979807,9907308,22857844,8155509,16074804,4693298,18818021,46922634,0,229320,5389878,12443619,25568302,22109537
강남구,20241,골목상권,3110453,신사1동주민센터,의약품,266877037,14320,44574201,65576092,23260606,45515933,44082805,43867400,0,149390972,117486065,0,3651513,10909420,28138069,40919212,183258823
강남구,20241,골목상권,3110453,신사1동주민센터,문구,8254669,348,0,3649432,2693629,0,1911608,0,0,8254669,0,0,1129586,0,0,7125083,0
강남구,20241,골목상권,3110453,신사1동주민센터,가전제품,236000000,5008,42729382,118410465,58430741,16429412,0,0,0,170293413,65706587,0,0,0,11671536,191995667,32332797
종로구,20241,골목상권,3110494,증산3교남측,자동차수리,66967625,497,7622644,13957710,8520455,14666725,9642385,12205764,351942,51578394,11030229,0,1994314,2279774,7357301,22513318,28463914
종로구,20241,골목상권,3110505,홍남교남측,자동차수리,166335358,538,8974504,10674938,40989868,31543023,60360629,13792396,0,102507736,20631914,0,0,4940701,24533461,28009901,65655586
마포구,20241,골목상권,3110530,아현역 1번,한식음식점,289740352,8820,39311004,42172651,29113828,38866337,46858532,69733064,23684936,175325473,90721259,135170,17458118,37836064,55195717,82674089,72747575
마포구,20241,골목상권,3110530,아현역 1번,슈퍼마켓,28983673,624,7762787,686558,2005062,0,1326305,17202961,0,3588827,2067476,0,0,0,0,0,5656303
마포구,20241,골목상권,3110532,아현역 2번,한식음식점,463295274,20073,68569280,61255232,67995670,74872382,78010346,67823512,44768852,270799142,150093562,1153537,29721768,55133216,71910396,130292111,132681675
마포구,20241,골목상권,3110532,아현역 2번,제과점,105916174,9248,15001117,15532628,19047398,17367924,17130394,18068037,3768676,44063023,54425475,81336,7911222,18609775,20163583,28847586,22874996
마포구,20241,골목상권,3110532,아현역 2번,호프-간이주점,296980729,5322,25189000,67101127,23716264,34866668,38304802,86962532,20840336,245500966,49327585,211012,14678559,18936319,28612027,78645815,153744821
마포구,20241,골목상권,3110532,아현역 2번,커피-음료,349976,30,91298,0,0,91298,45649,0,121731,167380,182596,0,0,0,0,0,349976
마포구,20241,골목상권,3110532,아현역 2번,일반의원,1191297999,87987,253918595,148587028,94523877,204198433,151344714,271778335,66947017,763389586,427908413,3085066,61353763,150982961,295429388,212515180,467931641
마포구,20241,골목상권,3110532,아현역 2번,미용실,2421013,142,97229,291689,408364,0,350026,617408,656297,977156,1443857,0,48615,145844,194459,534762,1497333
마포구,20241,골목상권,3110532,아현역 2번,슈퍼마켓,1771079560,100128,203067706,276828055,267834794,279055464,274609734,267218242,202465565,843743077,760715427,2121447,64199170,195833722,417493299,383090468,541720398
마포구,20241,골목상권,3110532,아현역 2번,핸드폰,9677585,1248,780450,0,1560901,0,6555783,780451,0,3121801,6555784,0,0,780450,1560901,4994883,2341351
마포구,20241,골목상권,3110532,아현역 2번,일반의류,477807670,3041,41253246,59310445,80628499,68569305,89620293,69740304,68685578,65219610,404873054,0,0,6592028,0,120209482,343291154
마포구,20241,골목상권,3110532,아현역 2번,의약품,1133637900,77429,228184292,200399721,165380441,180222723,174342754,144934302,40173667,506686798,626951102,1483641,47703120,75178391,159444479,278776751,571051518
마포구,20241,골목상권,3110532,아현역 2번,화초,10520440,414,624749,778706,1325231,2570852,3211884,2009018,0,3877153,5947393,139179,2085539,3252684,1259060,1517776,1570308
마포구,20241,골목상권,3110532,아현역 2번,가전제품,6315034,390,871284,637524,655233,919098,1910803,754404,566688,3302242,3012792,0,0,1249643,2258436,1252374,1554581
마포구,20241,골목상권,3110542,마포구청역 7번,한식음식점,526054443,16720,75537815,73944147,89849152,91807753,70694513,81614019,42607044,290332520,172739914,94809,30927776,97955048,102043951,135845404,96205447
마포구,20241,골목상권,3110542,마포구청역 7번,중식음식점,207999341,9344,16584737,18660773,29501559,35877102,37112908,36590110,33672152,104398705,72374578,346139,11557611,33837328,48718445,49625087,32688672
마포구,20241,골목상권,3110542,마포구청역 7번,제과점,219211123,22418,24449624,27008790,38404843,32606488,31082944,33141077,32517357,92839618,117085923,1047223,28704874,46667456,47157236,54145848,32202903
마포구,20241,골목상권,3110542,마포구청역 7번,패스트푸드점,507041207,46643,71204622,70394906,67413529,75836111,65379926,73068394,83743719,284718410,195719402,3224487,77398055,137265270,125184435,98180198,39185366
마포구,20241,골목상권,3110542,마포구청역 7번,치킨전문점,104542941,3311,13228285,15439499,10220837,12529082,17815033,19929704,15380501,54419157,44553083,1020429,13581817,25132388,21284774,22930167,15022665
